,DOE,Fit_Try3
524,doe1849,-0.8
525,doe1851,-1.2
526,doe1853,-0.7
527,doe1855,-1.1
528,doe1889,-1.3
529,doe1891,-1.3
530,doe1893,-1.3
531,doe1895,-1.3
532,doe1897,-0.9
533,doe1899,-1.0
534,doe1901,-0.8
535,doe1903,-1.0
536,doe1905,-0.9
537,doe1907,-1.2
538,doe1909,-1.0
539,doe1911,-1.3
540,doe1913,-0.5
541,doe1915,-0.9
542,doe1917,-0.7
543,doe1919,-1.0
544,doe1953,-1.2
545,doe1955,-0.8
546,doe1957,-1.2
547,doe1959,-0.9
548,doe1961,-1.2
549,doe1963,-1.5
550,doe1965,-1.5
551,doe1967,-1.8
552,doe1969,-1.9
553,doe1971,-2.4
554,doe1973,-2.2
555,doe1975,-2.6
556,doe1977,-3.1
557,doe1979,-2.7
558,doe1981,-3.1
559,doe1983,-2.6
560,doe2017,-1.3
561,doe2019,-1.0
562,doe2021,-1.3
563,doe2023,-1.0
564,doe2025,-1.4
565,doe2027,-1.8
566,doe2029,-1.4
567,doe2031,-1.8
568,doe2033,-1.6
569,doe2035,-2.0
570,doe2037,-1.6
571,doe2039,-2.1
572,doe2041,-2.9
573,doe2043,-2.4
574,doe2045,-3.0
575,doe2047,-2.5
576,doe2113,-2.5
577,doe2115,-2.4
578,doe2117,-1.4
579,doe2119,-1.4
580,doe2121,-2.2
581,doe2123,-2.1
582,doe2125,-1.5
583,doe2127,-1.5
584,doe2129,-1.3
585,doe2131,-1.3
586,doe2133,-1.0
587,doe2135,-1.0
588,doe2137,-1.2
589,doe2139,-1.2
590,doe2141,-1.0
591,doe2143,-1.0
592,doe2145,-3.1
593,doe2147,-3.1
594,doe2149,-1.8
595,doe2151,-1.7
596,doe2153,-2.4
597,doe2155,-2.4
598,doe2157,-1.8
599,doe2159,-1.7
600,doe2161,-1.2
601,doe2163,-1.2
602,doe2165,-1.0
603,doe2167,-1.0
604,doe2169,-1.2
605,doe2171,-1.2
606,doe2173,-1.0
607,doe2175,-1.0
608,doe2241,-1.1
609,doe2243,-1.0
610,doe2245,-0.1
611,doe2247,-0.2
612,doe2249,-2.8
613,doe2251,-2.7
614,doe2253,-1.7
615,doe2255,-1.7
616,doe2257,-1.5
617,doe2259,-1.5
618,doe2261,-1.3
619,doe2263,-1.3
620,doe2265,-2.4
621,doe2267,-2.4
622,doe2269,-2.3
623,doe2271,-2.3
624,doe2273,-1.2
625,doe2275,-1.2
626,doe2277,-0.5
627,doe2279,-0.5
628,doe2281,-2.7
629,doe2283,-2.7
630,doe2285,-1.7
631,doe2287,-1.7
632,doe2289,-1.5
633,doe2291,-1.5
634,doe2293,-1.3
635,doe2295,-1.3
636,doe2297,-2.3
637,doe2299,-2.3
638,doe2301,-2.2
639,doe2303,-2.2
640,doe2369,-2.6
641,doe2371,-2.7
642,doe2373,-1.3
643,doe2375,-1.4
644,doe2377,-2.5
645,doe2379,-2.6
646,doe2381,-1.4
647,doe2383,-1.5
648,doe2385,-4.1
649,doe2387,-4.2
650,doe2389,-2.0
651,doe2391,-2.0
652,doe2393,-3.4
653,doe2395,-3.5
654,doe2397,-1.6
655,doe2399,-1.6
656,doe2401,-2.8
657,doe2403,-2.8
658,doe2405,-1.4
659,doe2407,-1.4
660,doe2409,-2.6
661,doe2411,-2.6
662,doe2413,-1.5
663,doe2415,-1.5
664,doe2417,-4.1
665,doe2419,-4.2
666,doe2421,-2.5
667,doe2423,-2.6
668,doe2425,-3.5
669,doe2427,-3.6
670,doe2429,-1.7
671,doe2431,-1.8
672,doe2497,-1.4
673,doe2499,-1.3
674,doe2501,-0.4
675,doe2503,-0.4
676,doe2505,-3.0
677,doe2507,-2.9
678,doe2509,-2.4
679,doe2511,-2.4
680,doe2513,-1.0
681,doe2515,-0.8
682,doe2517,-0.8
683,doe2519,-0.7
684,doe2521,-2.6
685,doe2523,-2.6
686,doe2525,-3.0
687,doe2527,-2.9
688,doe2529,-1.4
689,doe2531,-1.4
690,doe2533,-0.4
691,doe2535,-0.4
692,doe2537,-2.9
693,doe2539,-2.9
694,doe2541,-2.3
695,doe2543,-2.3
696,doe2545,-1.4
697,doe2547,-1.4
698,doe2549,-1.2
699,doe2551,-1.2
700,doe2553,-2.6
