C:\Users\Orlando\Documents\Postdoctoral_Work\Data\MC2_XPS_Oct2018\overlay of cu lmm auger peaks.vms
Cu Metal Cu LMM
	Characteristic Energy eV	1486.71	Acquisition Time s	1.5
KE_Cu Metal Cu LMM	BE_Cu Metal Cu LMM	CPS_Cu Metal Cu LMM	Background_Cu Metal Cu LMM
920.26	566.45	15889.3	15889.3
920.31	566.4	15585.3	15585.3
920.36	566.35	15118.7	15118.7
920.41	566.3	15005.3	15005.3
920.46	566.25	14883.3	14883.3
920.51	566.2	14650	14650
920.56	566.15	14575.3	14575.3
920.61	566.1	14642	14642
920.66	566.05	14864.7	14864.7
920.71	566	14873.3	14873.3
920.76	565.95	14973.3	14973.3
920.81	565.9	15280	15280
920.86	565.85	15494.7	15494.7
920.91	565.8	15878	15878
920.96	565.75	16280	16280
921.01	565.7	16618.7	16618.7
921.06	565.65	16970	16970
921.11	565.6	17176.7	17176.7
921.16	565.55	17608.7	17608.7
921.21	565.5	17752	17752
921.26	565.45	18010	18010
921.31	565.4	18069.3	18069.3
921.36	565.35	18060.7	18060.7
921.41	565.3	17941.3	17941.3
921.46	565.25	17762.7	17762.7
921.51	565.2	17624.7	17624.7
921.56	565.15	17132.7	17132.7
921.61	565.1	16686.7	16686.7
921.66	565.05	16196	16196
921.71	565	15679.3	15679.3
921.76	564.95	15087.3	15087.3
921.81	564.9	14593.3	14593.3
921.86	564.85	13903.3	13903.3
921.91	564.8	13234.7	13234.7
921.96	564.75	12802	12802
922.01	564.7	12266	12266
922.06	564.65	11706	11706
922.11	564.6	11384.7	11384.7
922.16	564.55	11070.7	11070.7
922.21	564.5	10734.7	10734.7
922.26	564.45	10395.3	10395.3
922.31	564.4	10136	10136
922.36	564.35	9878	9878
922.41	564.3	9678	9678
922.46	564.25	9436	9436
922.51	564.2	9368	9368
922.56	564.15	9252	9252
922.61	564.1	9005.33	9005.33
922.66	564.05	8947.33	8947.33
922.71	564	8868	8868
922.76	563.95	8756	8756
922.81	563.9	8694	8694
922.86	563.85	8650.67	8650.67
922.91	563.8	8429.33	8429.33
922.96	563.75	8323.33	8323.33
923.01	563.7	8323.33	8323.33
923.06	563.65	8434.67	8434.67
923.11	563.6	8320	8320
923.16	563.55	8267.33	8267.33
923.21	563.5	8071.33	8071.33
923.26	563.45	8104	8104
923.31	563.4	8152.67	8152.67
923.36	563.35	8098	8098
923.41	563.3	8061.33	8061.33
923.46	563.25	7966.67	7966.67
923.51	563.2	7842	7842
923.56	563.15	7885.33	7885.33
923.61	563.1	7797.33	7797.33
923.66	563.05	7893.33	7893.33
923.71	563	7866.67	7866.67
923.76	562.95	7894	7894
923.81	562.9	7916.67	7916.67
923.86	562.85	7918.67	7918.67
923.91	562.8	7751.33	7751.33
923.96	562.75	7773.33	7773.33
924.01	562.7	7816.67	7816.67
924.06	562.65	7816	7816
924.11	562.6	7812.67	7812.67
924.16	562.55	7828.67	7828.67
924.21	562.5	7776.67	7776.67
924.26	562.45	7788.67	7788.67
924.31	562.4	7613.33	7613.33
924.36	562.35	7637.33	7637.33
924.41	562.3	7654.67	7654.67
924.46	562.25	7569.33	7569.33
924.51	562.2	7731.33	7731.33
924.56	562.15	7736.67	7736.67
924.61	562.1	7650	7650
924.66	562.05	7668	7668
924.71	562	7606.67	7606.67
924.76	561.95	7660.67	7660.67
924.81	561.9	7674.67	7674.67
924.86	561.85	7637.33	7637.33
924.91	561.8	7513.33	7513.33
924.96	561.75	7566	7566
925.01	561.7	7581.33	7581.33
925.06	561.65	7526.67	7526.67
925.11	561.6	7553.33	7553.33
925.16	561.55	7502.67	7502.67
925.21	561.5	7482	7482
925.26	561.45	7604.67	7604.67
925.31	561.4	7527.33	7527.33
925.36	561.35	7482.67	7482.67
925.41	561.3	7494	7494
925.46	561.25	7507.33	7507.33
925.51	561.2	7467.33	7467.33
925.56	561.15	7515.33	7515.33
925.61	561.1	7496.67	7496.67
925.66	561.05	7533.33	7533.33
925.71	561	7504.67	7504.67
925.76	560.95	7390.67	7390.67
925.81	560.9	7470.67	7470.67
925.86	560.85	7472	7472
925.91	560.8	7382	7382
925.96	560.75	7470	7470
926.01	560.7	7496.67	7496.67
926.06	560.65	7488.67	7488.67
926.11	560.6	7277.33	7277.33
926.16	560.55	7382	7382
926.21	560.5	7418.67	7418.67
926.26	560.45	7355.33	7355.33
926.31	560.4	7333.33	7333.33
926.36	560.35	7286	7286
926.41	560.3	7272	7272
926.46	560.25	7312.67	7312.67
926.51	560.2	7351.33	7351.33
926.56	560.15	7313.33	7313.33
926.61	560.1	7310	7310
926.66	560.05	7335.33	7335.33
926.71	560	7264.67	7264.67
