C:\Users\Orlando\Documents\Postdoctoral_Work\Data\GGB_XPS_Nov2018\20181119_CuOxide_corevamas.vms
Cu Auger/4
	Characteristic Energy eV	1486.71	Acquisition Time s	3	Step Size eV	0.05	No Steps	600
KE_Cu Auger/4	BE_Cu Auger/4	Background_Cu Auger/4
924.86	561.85	1317.17
924.91	561.8	1322
924.96	561.75	1325.5
925.01	561.7	1329
925.06	561.65	1336.67
925.11	561.6	1344.33
925.16	561.55	1339.17
925.21	561.5	1334
925.26	561.45	1352.67
925.31	561.4	1371.33
925.36	561.35	1358.33
925.41	561.3	1345.33
925.46	561.25	1345.17
925.51	561.2	1345
925.56	561.15	1336.83
925.61	561.1	1328.67
925.66	561.05	1340
925.71	561	1351.33
925.76	560.95	1341.83
925.81	560.9	1332.33
925.86	560.85	1325.5
925.91	560.8	1318.67
925.96	560.75	1318.5
926.01	560.7	1318.33
926.06	560.65	1310.83
926.11	560.6	1303.33
926.16	560.55	1314
926.21	560.5	1324.67
926.26	560.45	1322
926.31	560.4	1319.33
926.36	560.35	1305.5
926.41	560.3	1291.67
926.46	560.25	1313.5
926.51	560.2	1335.33
926.56	560.15	1324
926.61	560.1	1312.67
926.66	560.05	1295
926.71	560	1277.33
926.76	559.95	1262.83
926.81	559.9	1248.33
926.86	559.85	1267.67
926.91	559.8	1287
926.96	559.75	1274.83
927.01	559.7	1262.67
927.06	559.65	1252.33
927.11	559.6	1242
927.16	559.55	1253
927.21	559.5	1264
927.26	559.45	1261.67
927.31	559.4	1259.33
927.36	559.35	1256
927.41	559.3	1252.67
927.46	559.25	1244.83
927.51	559.2	1237
927.56	559.15	1247.67
927.61	559.1	1258.33
927.66	559.05	1258
927.71	559	1257.67
927.76	558.95	1256.33
927.81	558.9	1255
927.86	558.85	1234.17
927.91	558.8	1213.33
927.96	558.75	1207
928.01	558.7	1200.67
928.06	558.65	1217.17
928.11	558.6	1233.67
928.16	558.55	1235
928.21	558.5	1236.33
928.26	558.45	1224.17
928.31	558.4	1212
928.36	558.35	1212.17
928.41	558.3	1212.33
928.46	558.25	1203.83
928.51	558.2	1195.33
928.56	558.15	1206.83
928.61	558.1	1218.33
928.66	558.05	1204.83
928.71	558	1191.33
928.76	557.95	1193.17
928.81	557.9	1195
928.86	557.85	1202.5
928.91	557.8	1210
928.96	557.75	1202
929.01	557.7	1194
929.06	557.65	1186.33
929.11	557.6	1178.67
929.16	557.55	1194.17
929.21	557.5	1209.67
929.26	557.45	1201.5
929.31	557.4	1193.33
929.36	557.35	1199
929.41	557.3	1204.67
929.46	557.25	1192.83
929.51	557.2	1181
929.56	557.15	1187
929.61	557.1	1193
929.66	557.05	1193.83
929.71	557	1194.67
929.76	556.95	1212.33
929.81	556.9	1230
929.86	556.85	1218.5
929.91	556.8	1207
929.96	556.75	1204.17
930.01	556.7	1201.33
930.06	556.65	1198
930.11	556.6	1194.67
930.16	556.55	1196.33
930.21	556.5	1198
930.26	556.45	1212.17
930.31	556.4	1226.33
930.36	556.35	1214.17
930.41	556.3	1202
930.46	556.25	1213
930.51	556.2	1224
930.56	556.15	1210.33
930.61	556.1	1196.67
930.66	556.05	1209.33
930.71	556	1222
930.76	555.95	1228.17
930.81	555.9	1234.33
930.86	555.85	1222.5
930.91	555.8	1210.67
930.96	555.75	1213.33
931.01	555.7	1216
931.06	555.65	1236
931.11	555.6	1256
931.16	555.55	1238.17
931.21	555.5	1220.33
931.26	555.45	1224.83
931.31	555.4	1229.33
931.36	555.35	1249.17
931.41	555.3	1269
931.46	555.25	1255.33
931.51	555.2	1241.67
931.56	555.15	1243.33
931.61	555.1	1245
931.66	555.05	1247
